START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE
01-01-2016 21:11,01-01-2016 21:17,Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain
01-02-2016 01:25,01-02-2016 01:37,Business,Fort Pierce,Fort Pierce,5.0,
01-02-2016 20:25,01-02-2016 20:38,Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies
01-05-2016 17:31,01-05-2016 17:45,Business,Fort Pierce,Fort Pierce,4.7,Meeting
01-06-2016 14:42,01-06-2016 15:49,Business,Fort Pierce,West Palm Beach,63.7,Customer Visit
01-06-2016 17:15,01-06-2016 17:19,Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain
01-06-2016 17:30,01-06-2016 17:35,Business,West Palm Beach,Palm Beach,7.1,Meeting
01-07-2016 13:27,01-07-2016 13:33,Business,Cary,Cary,0.8,Meeting
01-10-2016 08:05,01-10-2016 08:25,Business,Cary,Morrisville,8.3,Meeting
01-10-2016 12:17,01-10-2016 12:44,Business,Jamaica,New York,16.5,Customer Visit
01-10-2016 15:08,01-10-2016 15:51,Business,New York,Queens,10.8,Meeting
01-10-2016 18:18,01-10-2016 18:53,Business,Elmhurst,New York,7.5,Meeting
01-10-2016 19:12,01-10-2016 19:32,Business,Midtown,East Harlem,6.2,Meeting
01-11-2016 08:55,01-11-2016 09:21,Business,East Harlem,NoMad,6.4,Temporary Site
01-11-2016 11:56,01-11-2016 12:03,Business,Flatiron District,Midtown,1.6,Errand/Supplies
01-11-2016 13:32,01-11-2016 13:46,Business,Midtown,Midtown East,1.7,Meal/Entertain
01-11-2016 14:30,01-11-2016 14:43,Business,Midtown East,Midtown,1.9,Meal/Entertain
01-12-2016 12:33,01-12-2016 12:49,Business,Midtown,Hudson Square,1.9,Meal/Entertain
01-12-2016 12:53,01-12-2016 13:09,Business,Hudson Square,Lower Manhattan,4.0,Meal/Entertain
01-12-2016 14:42,01-12-2016 14:56,Business,Lower Manhattan,Hudson Square,1.8,Errand/Supplies
01-12-2016 15:13,01-12-2016 15:28,Business,Hudson Square,Hell's Kitchen,2.4,Customer Visit
01-12-2016 15:42,01-12-2016 15:54,Business,Hell's Kitchen,Midtown,2.0,Errand/Supplies
01-12-2016 16:02,01-12-2016 17:00,Business,New York,Queens County,15.1,Meeting
02-01-2016 10:35,02-01-2016 11:15,Business,Cary,Chapel Hill,19.4,Customer Visit
02-01-2016 12:10,02-01-2016 12:43,Business,Chapel Hill,Cary,23.3,Customer Visit
02-01-2016 12:56,02-01-2016 13:07,Business,Northwoods,Whitebridge,3.9,Meal/Entertain
02-02-2016 13:04,02-02-2016 13:23,Business,Whitebridge,Williamsburg Manor,8.3,Meeting
02-02-2016 13:51,02-02-2016 14:06,Business,Cary,Cary,6.0,Errand/Supplies
02-02-2016 14:38,02-02-2016 14:42,Business,Cary,Cary,1.6,Errand/Supplies
02-04-2016 08:40,02-04-2016 09:01,Business,Cary,Morrisville,5.2,Errand/Supplies
02-04-2016 09:37,02-04-2016 10:09,Business,Morrisville,Cary,9.7,Meal/Entertain
02-04-2016 10:26,02-04-2016 10:32,Business,Cary,Cary,1.6,Meal/Entertain
02-04-2016 15:59,02-04-2016 16:03,Business,Cary,Cary,1.1,Meal/Entertain
02-04-2016 16:35,02-04-2016 16:39,Business,Cary,Cary,1.6,Meal/Entertain
02-04-2016 18:04,02-04-2016 18:31,Business,Whitebridge,Macgregor Downs,9.0,Meeting
02-04-2016 20:36,02-04-2016 20:55,Business,Cary,Cary,7.7,Meeting
02-05-2016 11:47,02-05-2016 12:07,Business,Cary,Durham,10.4,Meeting
02-05-2016 13:22,02-05-2016 13:41,Business,Durham,Cary,10.4,Meeting
02-06-2016 16:20,02-06-2016 16:53,Business,Cary,Raleigh,11.4,Between Offices
02-06-2016 18:57,02-06-2016 19:21,Business,Raleigh,Cary,9.0,Errand/Supplies
02-06-2016 19:28,02-06-2016 19:37,Business,Edgehill Farms,Whitebridge,3.2,Meal/Entertain
02-07-2016 16:49,02-07-2016 17:01,Business,Cary,Apex,5.6,Errand/Supplies
02-07-2016 18:03,02-07-2016 18:17,Business,Apex,Cary,5.7,Customer Visit
02-07-2016 18:39,02-07-2016 18:53,Business,Cary,Morrisville,6.1,Temporary Site
02-07-2016 20:22,02-07-2016 20:40,Business,Morrisville,Cary,6.1,Meeting
02-08-2016 12:57,02-08-2016 13:08,Business,Whitebridge,Edgehill Farms,4.3,Meal/Entertain
02-08-2016 14:00,02-08-2016 14:10,Business,Edgehill Farms,Whitebridge,2.7,Meal/Entertain
02-09-2016 10:54,02-09-2016 11:07,Personal,Whitebridge,Northwoods,5.3,
02-09-2016 11:43,02-09-2016 11:50,Personal,Northwoods,Tanglewood,3.0,
02-09-2016 13:36,02-09-2016 13:52,Personal,Tanglewood,Preston,5.1,
02-09-2016 13:58,02-09-2016 14:02,Personal,Preston,Whitebridge,1.5,
02-09-2016 18:55,02-09-2016 19:11,Business,Cary,Morrisville,6.1,
02-09-2016 20:24,02-09-2016 20:40,Business,Morrisville,Cary,6.1,Meal/Entertain
02-11-2016 16:28,02-11-2016 17:10,Business,Cary,Raleigh,17.3,Meal/Entertain
02-11-2016 17:49,02-11-2016 18:10,Business,Eastgate,Walnut Terrace,5.7,Meal/Entertain
02-11-2016 18:24,02-11-2016 18:46,Business,Raleigh,Morrisville,13.5,Temporary Site
02-11-2016 20:36,02-11-2016 20:51,Business,Morrisville,Cary,6.1,Temporary Site
02-12-2016 08:21,02-12-2016 08:42,Business,Cary,Durham,8.5,Temporary Site
02-12-2016 10:45,02-12-2016 10:52,Business,Durham,Morrisville,2.6,Temporary Site
02-12-2016 11:14,02-12-2016 11:35,Business,Morrisville,Raleigh,17.0,Customer Visit
02-12-2016 13:02,02-12-2016 13:36,Business,Raleigh,Cary,18.0,Meeting
02-12-2016 14:49,02-12-2016 15:06,Business,Cary,Morrisville,8.4,Meeting
02-12-2016 15:33,02-12-2016 16:06,Business,Morrisville,Cary,11.5,Customer Visit
03-01-2016 18:47,03-01-2016 19:10,Business,Whitebridge,Wayne Ridge,8.0,Meal/Entertain
03-01-2016 21:27,03-01-2016 21:45,Business,Wayne Ridge,Whitebridge,8.0,Meeting
